,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,112800.0,3.0
283,-122.16,37.79,22.0,12842.0,2048.0,4985.0,1967.0,5.9849,371000.0,3.0
572,-122.06,37.77,12.0,14316.0,2045.0,5781.0,2007.0,7.2634,341600.0,3.0
858,-122.01,37.57,14.0,16199.0,2993.0,8117.0,2847.0,5.8322,281800.0,3.0
916,-121.92,37.53,7.0,28258.0,3864.0,12203.0,3701.0,8.4045,451100.0,0.0
1004,-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,238900.0,1.0
1015,-121.79,37.66,22.0,14701.0,2210.0,6693.0,2232.0,5.98,245000.0,1.0
1033,-120.97,38.42,16.0,1748.0,322.0,4930.0,287.0,4.3029,121900.0,1.0
1270,-121.6,37.9,5.0,14684.0,2252.0,4276.0,1722.0,6.9051,340900.0,1.0
1498,-122.05,37.92,14.0,12713.0,2558.0,4741.0,2412.0,4.7094,234700.0,3.0
1550,-121.95,37.78,4.0,14652.0,2826.0,5613.0,2579.0,6.3942,356700.0,0.0
2991,-119.15,34.83,6.0,8733.0,1600.0,2006.0,736.0,4.5724,168400.0,1.0
3143,-118.9,35.26,31.0,6145.0,1492.0,5666.0,1457.0,1.9066,54600.0,1.0
3153,-119.93,36.32,25.0,8363.0,1636.0,7679.0,1580.0,2.0285,106300.0,1.0
3338,-120.51,40.41,36.0,36.0,8.0,4198.0,7.0,5.5179,67500.0,1.0
3573,-118.47,34.23,22.0,8350.0,2717.0,9135.0,2452.0,2.5008,160000.0,0.0
3591,-118.45,34.24,11.0,9053.0,2193.0,7096.0,2038.0,3.5082,136500.0,0.0
3618,-118.46,34.23,19.0,9902.0,2814.0,7307.0,2660.0,2.585,145400.0,0.0
3908,-118.6,34.21,21.0,9512.0,2560.0,7282.0,2387.0,2.8039,227500.0,0.0
3946,-118.6,34.19,16.0,14912.0,4183.0,5105.0,3302.0,2.8312,213900.0,0.0
4000,-118.52,34.17,20.0,17377.0,4457.0,7450.0,4204.0,3.2154,259600.0,0.0
4228,-118.3,34.1,35.0,7517.0,2961.0,5899.0,2769.0,1.9354,340000.0,0.0
4536,-118.28,34.07,25.0,7522.0,3179.0,7221.0,2902.0,2.0173,177500.0,0.0
4571,-118.3,34.07,46.0,5677.0,2610.0,7443.0,2406.0,1.8238,237500.0,0.0
4588,-118.3,34.07,28.0,5221.0,2530.0,5840.0,2374.0,1.8829,300000.0,0.0
4590,-118.29,34.06,42.0,3894.0,2293.0,6846.0,2156.0,1.5553,70000.0,0.0
4623,-118.29,34.05,18.0,3585.0,1661.0,5229.0,1534.0,1.847,250000.0,0.0
4639,-118.35,34.07,45.0,7803.0,2154.0,3359.0,2041.0,3.3594,287500.0,0.0
5663,-118.26,34.18,32.0,14556.0,2077.0,5459.0,2017.0,8.1657,500001.0,0.0
5739,-118.24,34.14,9.0,4877.0,1488.0,4486.0,1458.0,2.4421,222100.0,0.0
5859,-117.71,34.15,17.0,17715.0,2370.0,7665.0,2312.0,7.9068,349100.0,1.0
5902,-117.81,34.08,13.0,18448.0,2474.0,7775.0,2397.0,7.7876,348900.0,1.0
5991,-117.86,33.99,10.0,17820.0,2812.0,8686.0,2666.0,6.3875,310700.0,0.0
5993,-117.78,34.03,8.0,32054.0,5290.0,15507.0,5050.0,6.0191,253900.0,0.0
5997,-117.79,34.02,5.0,18690.0,2862.0,9427.0,2777.0,6.4266,315600.0,0.0
5999,-117.83,33.99,14.0,17527.0,2751.0,8380.0,2676.0,6.2734,267000.0,0.0
6002,-117.87,34.04,7.0,27700.0,4179.0,15037.0,4072.0,6.6288,339700.0,0.0
6229,-117.9,34.02,15.0,14058.0,2486.0,8997.0,2497.0,5.0704,226200.0,0.0
6259,-117.92,33.98,10.0,16414.0,2919.0,8907.0,2714.0,6.1552,362500.0,0.0
6269,-117.88,33.96,16.0,19059.0,3079.0,10988.0,3061.0,5.5469,265200.0,0.0
6271,-117.9,33.98,20.0,9893.0,2283.0,7228.0,2159.0,3.253,186700.0,0.0
6332,-118.06,34.13,28.0,12139.0,2873.0,5359.0,2731.0,3.292,227300.0,1.0
6446,-118.01,34.07,22.0,6311.0,1572.0,6666.0,1456.0,2.9334,182600.0,1.0
6448,-118.01,34.07,24.0,5684.0,1485.0,6626.0,1481.0,2.2559,166800.0,1.0
7279,-118.18,33.97,26.0,6895.0,1877.0,8551.0,1808.0,2.3175,154500.0,0.0
8378,-118.34,33.91,12.0,9975.0,3638.0,7429.0,3405.0,2.6689,192300.0,0.0
8379,-118.33,33.91,8.0,10731.0,3335.0,7211.0,3028.0,2.455,192700.0,0.0
8627,-118.36,33.84,22.0,11016.0,3170.0,6664.0,2838.0,3.703,361300.0,0.0
8714,-118.42,33.75,22.0,17591.0,2604.0,6897.0,2492.0,8.2831,500001.0,4.0
8894,-118.44,33.98,21.0,18132.0,5419.0,7431.0,4930.0,5.3359,500001.0,0.0
8913,-118.6,34.13,20.0,14291.0,1934.0,5452.0,1875.0,9.1232,472000.0,0.0
8922,-118.67,34.16,17.0,16544.0,2206.0,6214.0,2118.0,9.1228,500001.0,0.0
8924,-118.68,34.13,9.0,11251.0,1594.0,3029.0,1227.0,6.7273,500001.0,0.0
8927,-118.72,34.14,7.0,23866.0,4407.0,9873.0,4012.0,5.4032,318500.0,4.0
8928,-118.78,34.16,9.0,30405.0,4093.0,12873.0,3931.0,8.0137,399200.0,4.0
8936,-118.88,34.02,19.0,15990.0,2611.0,5175.0,2173.0,7.7848,500001.0,4.0
8949,-118.09,34.68,4.0,23386.0,4171.0,10493.0,3671.0,4.0211,144000.0,1.0
8990,-118.2,34.69,5.0,9076.0,1503.0,7694.0,1278.0,4.875,163400.0,1.0
9031,-118.1,34.57,7.0,20377.0,4335.0,11973.0,3933.0,3.3086,138100.0,1.0
9044,-118.37,34.43,11.0,17339.0,2866.0,8721.0,2803.0,5.9507,225200.0,1.0
9054,-118.46,34.4,12.0,25957.0,4798.0,10475.0,4490.0,4.542,195300.0,0.0
9080,-118.59,34.47,5.0,538.0,98.0,8733.0,105.0,4.2391,154600.0,1.0
9194,-122.56,38.06,19.0,15622.0,2721.0,6109.0,2615.0,5.0965,295300.0,3.0
9588,-118.99,37.63,10.0,7744.0,1573.0,483.0,224.0,3.2917,231800.0,1.0
9602,-121.61,36.69,19.0,9899.0,2617.0,11272.0,2528.0,2.0244,118500.0,0.0
9621,-121.66,36.69,6.0,10613.0,2485.0,7249.0,2375.0,3.7912,168900.0,0.0
9649,-121.68,36.72,12.0,19234.0,4492.0,12153.0,4372.0,3.2652,152800.0,0.0
9653,-121.62,36.69,11.0,4712.0,1098.0,5982.0,1105.0,2.5986,135700.0,0.0
9782,-121.79,36.64,11.0,32627.0,6445.0,28566.0,6082.0,2.3087,118800.0,0.0
9783,-121.8,36.68,18.0,8581.0,1957.0,6071.0,1889.0,3.0,162200.0,0.0
9975,-120.26,39.32,24.0,6012.0,1227.0,780.0,358.0,3.0043,122100.0,1.0
10206,-117.74,33.89,4.0,37937.0,5471.0,16122.0,5189.0,7.4947,366300.0,0.0
10432,-117.7,33.48,6.0,16590.0,2696.0,6223.0,2357.0,6.3088,340300.0,0.0
10795,-117.86,33.75,6.0,1565.0,599.0,3157.0,629.0,2.9271,123200.0,0.0
10801,-117.85,33.74,26.0,2589.0,1003.0,5756.0,983.0,2.1992,170800.0,0.0
