ddd,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,0,0.297007744,0,0,0,0,0,0,0,0,0,0.433268477,0.600454438,0.415983389,0,0,0,0,0.184508133,0.226028392,0,0,0,0.25670869,0.366284919,0,0.226028392,0.226028392,0.217118291,0,0,0,0.184508133,0.346510751,0.542555957,0.25670869,0,0,0,0,0,0,0,0,0,0,0.217118291,0,0,0,0.348192332,0.25670869,0,0,0,0.226028392,0.226028392,0.25670869,0,0,0,0.373232412,0,0,0,0.297007744,0,0,0.252022237,0,0,0,0,0,0,0.217118291,0,0.435698466,0.178482774,0,0,0.250009702,0.178482774,0,0,0,0,0,0.226028392,0,0,0,0,0,0,0.184508133,0,0,0,0.217118291,0.178482774,0,0.349652471,0.373232412,0,0,0,0.178482774,0,0.178482774,0,0,0,0.184508133,0,0,0,0,0,0,0,0.178482774,0.226028392,0.291774031,0.178482774,0,0,0,0.184508133,0,0,0,0,0,0.297007744,0,0,0,0,0.226028392,0.25670869,0.178482774,0,0,0,0,0,0,0,0,0,0.346510751,0,0.297007744,0,0.184508133,0,0.297007744,0,0,0,0,0.297007744,0,0.297007744,0,0,0,0.178482774,0.178482774,0,0.345309717,0,0,0,0,0,0,0,0.226028392,0,0,0,0.307851624,0,0,0,0,0.178482774,0,0,0,0.178482774,0,0.217118291,0,0.184508133,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0.328751675,0.804891876,0,0.675916268,0,0,0,0,0.262822488,0,0,0,0,0.365668525,0,0,0,0.328751675,0.543531189,0,0,0,0.262822488,0.25423967,0,0.365668525,0,0,0,0,0,0,0,0,0,0.410380498,0.513870183,0,0,0,0.511426791,0.365668525,0,0,0,0,0,0.581659778,0,0.328751675,0,0,0,0,0,0,0,0,0.358992909,0.452343483,0,0,0.328751675,0,0.410380498,0.309274007,0,0.620630394,0.25423967,0,0,0.356126156,0.25423967,0,0,0,0,0,0,0,0,0.328751675,0,0,0,0.262822488,0.328751675,0,0.328751675,0.526205765,0.25423967,0.410380498,0.262822488,0,0,0,0,0.412073683,0,0.25423967,0,0,0,0.262822488,0.328751675,0.452343483,0,0,0,0,0,0.25423967,0,0.262822488,0.25423967,0,0,0,0.262822488,0.328751675,0,0,0,0,0,0,0,0,0,0,0.365668525,0.25423967,0,0,0,0,0,0,0,0,0,0.25423967,0,0,0,0.262822488,0,0,0,0.452343483,0,0,0.452343483,0,0,0,0,0,0.25423967,0.25423967,0,0.607084657,0,0,0,0,0,0,0,0,0.328751675,0,0,0.309274007,0,0,0.452343483,0,0.25423967,0,0,0,0.25423967,0,0.309274007,0,0.262822488,0,0,0
3,0,0,0,0,0.842433628,0.124904748,0,0,0,0,0.307227475,0.307227475,0.438783085,0.307227475,0.438783085,0,0,0,0,0,0.124904748,0.124904748,0.124904748,0.124904748,0,0,0,0.307227475,0.124904748,0.383511854,0,0,0,0,0,0.124904748,0.124904748,0,0,0,0,0,0,0,0.124904748,0,0,0,0.124904748,0.124904748,0.124904748,0,0,0.124904748,0.124904748,0,0,0,0.438783085,0.307227475,0.124904748,0.124904748,0,0,0,0,0,0,0,0,0,0.454491305,0.331647279,0.124904748,0,0,0.124904748,0,0,0,0.124904748,0.124904748,0,0.124904748,0.401850681,0,0,0.124904748,0.124904748,0.395372864,0.413681252,0.307227475,0,0,0.402363725,0,0.307227475,0.124904748,0.307227475,0,0.397790882,0.124904748,0.438783085,0,0,0,0,0.307227475,0,0,0,0.438783085,0,0,0.307227475,0,0,0,0.402363725,0.124904748,0,0,0.124904748,0,0,0,0,0.124904748,0,0.307227475,0.124904748,0,0,0,0,0,0,0,0,0,0,0,0,0.727201479,0.124904748,0,0,0,0,0,0,0,0,0,0,0,0,0.124904748,0.124904748,0,0,0,0.124904748,0.124904748,0,0,0,0.403339235,0.403339235,0,0,0.307227475,0,0,0,0,0,0,0,0,0.638148932,0,0,0,0.124904748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0.224150903,0,0,0.181008435,0.158354169,0.25098981,0,0,0,0,0.294472929,0,0.224150903,0.344398442,0.122323736,0,0.181008435,0,0.122323736,0.181008435,0.288566713,0.274444293,0,0.122323736,0.224150903,0,0,0,0,0.122323736,0.173873033,0,0,0,0,0,0,0,0,0.440374792,0,0,0,0,0.158354169,0.21112817,0,0,0,0.158354169,0.158354169,0.173873033,0,0,0.336510791,0,0.274444293,0,0.181008435,0.158354169,0,0,0,0,0,0.235176263,0,0,0,0.364455597,0,0,0,0,0.224150903,0,0.181008435,0,0.224150903,0,0,0.294626148,0,0,0.173873033,0,0.173873033,0.158354169,0,0,0,0,0.224150903,0,0,0,0,0.266163531,0,0.320806962,0,0,0,0,0,0,0.306734097,0.235176263,0.173873033,0,0,0,0,0,0.25098981,0,0,0.158354169,0.294260819,0.181008435,0.173873033,0.122323736,0,0,0,0,0,0,0.158354169,0,0.158354169,0,0,0,0.224150903,0.158354169,0.246534252,0,0,0.173873033,0.158354169,0,0,0,0,0,0,0.181008435,0,0,0,0.173873033,0,0,0,0.173873033,0,0.122323736,0,0.158354169,0.173873033,0.464687098,0.679557329,0.122323736,0.341748524,0.122323736,0.200097825,0.237850238,0,0.224150903,0,0,0.158354169,0,0,0.235176263,0,0,0,0.122323736,0.344398442,0.516824194,0,0,0.235176263,0,0.122323736,0.158354169,0,0.218465443,0,0,0,0.158354169,0,0,0
5,0,0.256476283,0,0,0,0,0,0,0.256476283,0,0,0,0,0,0,0,0.256476283,0,0,0.256476283,0,0,0,0,0.256476283,0.256476283,0.256476283,0.256476283,0.434008948,0,0,0,0,0,0.256476283,0,0.256476283,0,0.382544559,0.382544559,0,0.382544559,0,0,0,0,0,0,0.434008948,0,0,0,0,0,0,0.50412682,0.256476283,0,0,0,0,0.382544559,0.256476283,0,0,0,0,0.50412682,0,0,0,0,0,0,0,0,0.547501511,0.382544559,0,0,0,0,0.382544559,0.46056533,0.256476283,0,0,0,0,0,0.434008948,0,0,0,0,0,0,0,0,0,0.500397307,0.547501511,0.847458526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434008948,0.256476283,0.256476283,0,0,0,0,0,0,0,0,0,0.256476283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434008948,0,0.382544559,0.382544559,0,0,0,0,0,0,0,0.256476283,0,0,0,0.434008948,0,0,0,0.547501511,0,0,0,0,0,0,0,0,0.547501511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256476283,0,0,0,0,0,0,0,0
6,0.349198646,0.071855825,0.071855825,0.071855825,0,0.071855825,0.071855825,0,0.071855825,0.336451271,0.336451271,0.342119619,0,0,0,0.071855825,0,0.071855825,0.071855825,0,0.071855825,0.071855825,0.071855825,0.071855825,0.345637575,0.071855825,0.071855825,0.071855825,0.479838819,0.479838819,0,0,0.071855825,0.071855825,0.071855825,0.071855825,0.071855825,0.344038831,0.071855825,0,0,0,0,0.071855825,0.071855825,0,0.479838819,0.071855825,0.071855825,0.071855825,0.071855825,0.342119619,0.349584172,0.071855825,0.336451271,0.071855825,0.343406993,0.071855825,0.071855825,0.071855825,0.071855825,0,0.071855825,0.071855825,0,0,0,0,0.071855825,0.348960905,0,0,0.071855825,0.348960905,0,0,0,0.479838819,0,0.336451271,0.071855825,0.336451271,0,0.482741496,0.343908977,0.071855825,0.071855825,0.071855825,0.071855825,0,0.071855825,0,0.071855825,0.071855825,0,0.071855825,0.338169562,0.071855825,0.342119619,0,0.479838819,0.071855825,0.071855825,0,0.071855825,0.071855825,0,0,0.071855825,0.344038831,0,0.349584172,0,0,0.071855825,0.071855825,0,0.071855825,0.071855825,0.071855825,0.341595223,0,0.481054903,0.071855825,0.071855825,0.336451271,0,0.939038695,0.336451271,0.8744092,0.071855825,0.071855825,0.071855825,0.071855825,0.071855825,0,0.342119619,0.071855825,0,0,0,0.479838819,0,0.071855825,0,0.071855825,0.344038831,0.342481702,0.071855825,0.071855825,0,0.071855825,0,0.342119619,0.071855825,0,0.071855825,0,0.071855825,0.071855825,0.071855825,0,0,0,0.071855825,0.071855825,0.071855825,0.342119619,0.071855825,0.071855825,0.071855825,0,0.349456144,0.071855825,0.071855825,0.349584172,0.071855825,0.336451271,0.071855825,0.071855825,0,0.071855825,0.348047271,0.349584172,0,0.342481702,0.484724429,0.346368965,0.345637575,0.071855825,0.347171258,0.071855825,0.071855825,0,0.479838819,0.342481702,0.481083946,0.071855825,0.343647423,0
7,0.245168372,0.152860052,0.015367071,0,0.063980355,0,0,0.156488555,0.269291477,0.157201285,0.157241263,0.156488555,0,0.169759538,0.015367071,0.26660367,0.156488555,0.124811836,0.157241263,0.015367071,0,0,0,0,0.165556835,0,0.255131083,0,0,0.156488555,0.137299305,0.329738983,0.34237642,0.156488555,0.015367071,0.015367071,0.672548396,0,0.272659435,0.063980355,0,0.248341174,0,0.156488555,0.152860052,0,0,0.30601055,0.0655015,0,0.140255055,0.063980355,0.204916152,0.015367071,0.015367071,0.432931526,0.336392621,0.318254482,0.015367071,0,0,0.202769132,0.156488555,0.015367071,0,0,0,0,0.33314926,0.310101474,0,0.063980355,0.063980355,0.248816169,0.015367071,0.015367071,0,0.204339136,0.211870214,0.063980355,0,0.231632521,0,0,0.015367071,0,0,0,0.138078296,0.151474701,0.063980355,0,0,0.184459792,0.137299305,0.200755596,0.183881496,0,0,0,0.136965793,0,0,0,0,0.256450433,0,0,0.015367071,0.065799945,0,0,0,0.015367071,0.015367071,0.015367071,0,0,0,0.065799945,0.156488555,0.368488736,0.182930069,0.481354245,0.304226731,0.015367071,0.156488555,0.12575429,0,0,0.137299305,0.185550785,0.136178345,0.141094391,0.063980355,0,0,0.138080741,0.015367071,0.065651634,0.015367071,0.063980355,0.152860052,0,0.277941241,0,0.12575429,0.063980355,0,0,0,0.015367071,0.152860052,0.137299305,0.015367071,0,0,0.063980355,0.063980355,0.063980355,0,0.183864041,0.183864041,0,0.246688885,0.015367071,0.152860052,0.124811836,0.153562049,0,0,0,0.213726357,0.270626389,0.015367071,0.156975426,0.015367071,0,0.153630539,0,0,0.156488555,0.015367071,0.152860052,0.219296626,0.015367071,0.153630539,0.15361664,0.306019103,0.152860052,0.015367071,0.065799945,0.228371811,0.015367071,0.156488555,0.22447608,0.361938499,0.169062573,0.219831432,0
8,0.229960377,0.137567723,0,0.252496719,0,0,0,0,0.172458804,0.293562883,0.293562883,0.286756035,0.137567723,0.274208923,0.252496719,0,0,0,0.630962957,0.274208923,0,0,0,0.286756035,0.137567723,0,0.229960377,0.274208923,0,0,0,0.287443584,0.286756035,0,0.137567723,0.137567723,0,0,0,0,0,0,0,0.422922776,0,0,0.286756035,0.399712532,0,0,0,0,0,0.252496719,0,0.40736757,0.172458804,0.365942463,0.274208923,0,0,0,0.293562883,0,0,0,0,0.286756035,0.425360767,0.287443584,0,0,0,0,0,0,0.137567723,0,0.137567723,0,0,0.323932975,0.439299145,0.137567723,0.313505868,0.274208923,0.306782352,0,0.439299145,0,0,0,0.460335331,0.137567723,0,0,0.361795441,0.274208923,0,0,0.137567723,0,0,0,0,0.137567723,0,0,0,0.137567723,0,0,0,0.286756035,0.252496719,0,0.252496719,0.274208923,0,0,0.293562883,0.560992266,0.172458804,0.467221108,0.172458804,0,0,0.396761335,0,0,0.274208923,0,0.274208923,0.137567723,0,0,0,0,0,0,0,0,0,0,0.252496719,0.137567723,0,0.286756035,0.274208923,0,0,0,0,0.137567723,0.382078024,0,0,0,0.286756035,0.287280197,0,0.172458804,0.172458804,0.252496719,0.286756035,0,0,0,0,0,0,0,0.336514341,0.213658139,0,0.293562883,0,0,0.397328585,0.252496719,0,0,0,0,0,0.458735005,0,0.285548657,0.287213398,0,0,0.137567723,0.423881821,0,0,0.219433969,0.423993382,0.293562883,0.300235408,0
9,0.050625093,0.050625093,0.050625093,0.050625093,0.12257621,0.13214833,0.050625093,0,0.41724768,0,0,0.163309057,0,0,0,0.050625093,0,0.050625093,0.050625093,0,0.534451193,0.534451193,0.208459288,0.210060173,0.050625093,0.050625093,0.050625093,0.050625093,0.202479219,0,0,0,0.050625093,0.050625093,0.050625093,0.210375083,0.210375083,0.050625093,0.050625093,0,0.414846714,0,0,0.050625093,0.609521164,0.616053711,0.431244621,0.050625093,0.209981235,0.131937914,0.13214833,0,0.050625093,0.210375083,0.204192986,0.050625093,0.050625093,0.050625093,0.050625093,0.050625093,0.209874522,0.204192986,0.050625093,0.050625093,0,0,0,0,0.050625093,0.050625093,0,0.204192986,0.131937914,0.131937914,0.414846714,0,0.200400701,0,0.414846714,0,0.210375083,0.202479219,0.414846714,0.207004816,0.132473922,0.050625093,0.050625093,0.208459288,0.450963267,0,0.131937914,0.163309057,0.050625093,0.050625093,0.12257621,0.050625093,0.401205115,0.209874522,0,0.493477502,0.45430908,0.451286269,0.050625093,0,0.050625093,0.050625093,0,0,0.050625093,0.403937135,0,0.417924271,0,0,0.050625093,0.050625093,0,0.050625093,0.132619106,0.20953326,0.050625093,0,0.206927096,0.050625093,0.050625093,0,0,0.131006266,0,0,0.131006266,0.050625093,0.050625093,0.050625093,0.050625093,0,0,0.050625093,0.400752179,0,0,0,0,0.209136668,0.204192986,0.050625093,0.050625093,0.050625093,0.050625093,0.050625093,0,0.050625093,0,0.163309057,0.050625093,0,0.417924271,0.12257621,0.132619106,0.050625093,0.050625093,0.163309057,0.12257621,0.12257621,0.050625093,0.050625093,0.050625093,0.202709808,0.132619106,0.050625093,0.050625093,0,0.40323865,0.050625093,0.050625093,0.050625093,0.050625093,0,0.050625093,0.050625093,0.12257621,0.050625093,0.050625093,0.050625093,0.12257621,0.050625093,0.050625093,0.050625093,0.050625093,0.050625093,0.050625093,0.050625093,0.050625093,0,0.616053711,0.050625093,0.050625093,0.403937135,0.050625093,0
10,0,0,0,0,0,0,0,0.341863187,0.278116586,0.62610216,0,0.291301341,0,0.436547129,0,0,0.291301341,0,0.291301341,0,0,0,0.245727606,0,0.325141392,0,0.212919864,0,0.178924473,0.291301341,0,0,0.212919864,0.291301341,0,0,0.212919864,0,0,0.178924473,0,0,0,0.245727606,0,0,0,0.245727606,0.212919864,0.212919864,0,0,0.178924473,0,0.245727606,0.178924473,0,0,0.245727606,0,0,0,0.178924473,0.178924473,0,0,0,0.212919864,0.339263878,0.451349552,0.414369945,0,0,0,0,0,0.178924473,0,0,0,0,0.245727606,0,0.178924473,0.178924473,0,0.245727606,0,0.178924473,0,0.245727606,0.414369945,0,0.178924473,0,0.291301341,0.462283756,0,0,0,0,0.212919864,0.523534457,0,0,0,0,0.245727606,0,0.561693464,0,0,0.178924473,0,0,0,0.245727606,0,0,0,0,0.291301341,0,0.339263878,0.402747199,0,0.537189808,0,0.275933819,0,0.245727606,0.245727606,0,0,0,0,0,0.212919864,0.212919864,0,0,0.212919864,0,0,0,0.212919864,0,0,0,0,0.245727606,0,0,0,0,0,0,0,0,0.178924473,0,0,0,0,0.178924473,0,0.245727606,0,0.245727606,0,0.212919864,0.178924473,0.278116586,0.448900082,0,0,0,0,0,0,0,0.291301341,0.245727606,0,0.387138203,0.178924473,0,0,0,0.462283756,0,0,0.212919864,0,0.291301341,0,0.178924473,0.414369945,0,0.212919864
